#index x f(x) U(x)
1 0.000100 0.010675 -0.113475
2 0.010099 0.010675 -0.113475
3 0.020099 0.010675 -0.113475
4 0.030098 0.012945 -0.060178
5 0.040098 0.012945 -0.060178
6 0.050097 0.014149 -0.006706
7 0.060097 0.014149 -0.006706
8 0.070096 0.014283 -0.014552
9 0.080096 0.014283 -0.014552
10 0.090095 0.014574 -0.007424
11 0.100095 0.014574 -0.007424
12 0.110094 0.014722 -0.018088
13 0.120094 0.014722 -0.018088
14 0.130093 0.015084 0.034922
15 0.140093 0.015084 0.034922
16 0.150092 0.014385 0.015313
17 0.160092 0.014385 0.015313
18 0.170091 0.014079 0.024506
19 0.180091 0.014079 0.024506
20 0.190090 0.013589 0.016483
21 0.200090 0.013589 0.016483
22 0.210089 0.013259 0.014415
23 0.220089 0.013259 0.014415
24 0.230088 0.012971 -0.002986
25 0.240088 0.012971 -0.002986
26 0.250087 0.013031 -0.017038
27 0.260087 0.013031 -0.017038
28 0.270086 0.013372 0.013426
29 0.280086 0.013372 0.013426
30 0.290085 0.013103 0.007349
31 0.300085 0.013103 0.007349
32 0.310084 0.012956 0.000664
33 0.320084 0.012956 0.000664
34 0.330083 0.012943 0.007245
35 0.340083 0.012943 0.007245
36 0.350082 0.012798 -0.005336
37 0.360082 0.012798 -0.005336
38 0.370081 0.012905 0.013629
39 0.380081 0.012905 0.013629
40 0.390080 0.012632 -0.000894
41 0.400080 0.012632 -0.000894
42 0.410079 0.012650 0.009407
43 0.420079 0.012650 0.009407
44 0.430078 0.012462 0.005120
45 0.440078 0.012462 0.005120
46 0.450077 0.012359 0.009102
47 0.460077 0.012359 0.009102
48 0.470076 0.012177 -0.008323
49 0.480076 0.012177 -0.008323
50 0.490075 0.012344 0.001168
51 0.500075 0.012344 0.001168
52 0.510074 0.012320 0.010840
53 0.520074 0.012320 0.010840
54 0.530073 0.012104 0.005527
55 0.540073 0.012104 0.005527
56 0.550072 0.011993 0.002112
57 0.560072 0.011993 0.002112
58 0.570071 0.011951 0.000553
59 0.580071 0.011951 0.000553
60 0.590070 0.011940 0.001733
61 0.600070 0.011940 0.001733
62 0.610069 0.011905 0.010672
63 0.620069 0.011905 0.010672
64 0.630068 0.011692 0.014148
65 0.640068 0.011692 0.014148
66 0.650067 0.011409 0.005273
67 0.660067 0.011409 0.005273
68 0.670066 0.011303 -0.000702
69 0.680066 0.011303 -0.000702
70 0.690065 0.011317 -0.005026
71 0.700065 0.011317 -0.005026
72 0.710064 0.011418 0.005837
73 0.720064 0.011418 0.005837
74 0.730063 0.011301 -0.003892
75 0.740063 0.011301 -0.003892
76 0.750062 0.011379 0.005526
77 0.760062 0.011379 0.005526
78 0.770061 0.011268 -0.003071
79 0.780061 0.011268 -0.003071
80 0.790060 0.011330 -0.007138
81 0.800060 0.011330 -0.007138
82 0.810059 0.011473 0.007275
83 0.820059 0.011473 0.007275
84 0.830058 0.011327 -0.004827
85 0.840058 0.011327 -0.004827
86 0.850057 0.011424 -0.000977
87 0.860057 0.011424 -0.000977
88 0.870056 0.011443 0.000128
89 0.880056 0.011443 0.000128
90 0.890055 0.011441 -0.004262
91 0.900055 0.011441 -0.004262
92 0.910054 0.011526 0.001074
93 0.920054 0.011526 0.001074
94 0.930053 0.011504 -0.000913
95 0.940053 0.011504 -0.000913
96 0.950052 0.011523 0.001484
97 0.960052 0.011523 0.001484
98 0.970051 0.011493 0.000642
99 0.980051 0.011493 0.000642
100 0.990050 0.011480 -0.002577
101 1.000050 0.011480 -0.002577
102 1.010049 0.011532 0.002890
103 1.020049 0.011532 0.002890
104 1.030048 0.011474 0.007353
105 1.040048 0.011474 0.007353
106 1.050047 0.011327 0.003044
107 1.060047 0.011327 0.003044
108 1.070046 0.011266 0.004635
109 1.080046 0.011266 0.004635
110 1.090045 0.011173 0.003178
111 1.100045 0.011173 0.003178
112 1.110044 0.011110 0.005113
113 1.120044 0.011110 0.005113
114 1.130043 0.011007 0.001489
115 1.140043 0.011007 0.001489
116 1.150042 0.010978 0.004866
117 1.160042 0.010978 0.004866
118 1.170041 0.010880 0.002726
119 1.180041 0.010880 0.002726
120 1.190040 0.010826 0.005211
121 1.200040 0.010826 0.005211
122 1.210039 0.010722 0.006272
123 1.220039 0.010722 0.006272
124 1.230038 0.010596 0.003989
125 1.240038 0.010596 0.003989
126 1.250037 0.010516 0.009747
127 1.260037 0.010516 0.009747
128 1.270036 0.010321 0.006103
129 1.280036 0.010321 0.006103
130 1.290035 0.010199 0.001880
131 1.300035 0.010199 0.001880
132 1.310034 0.010162 0.007137
133 1.320034 0.010162 0.007137
134 1.330033 0.010019 -0.003108
135 1.340033 0.010019 -0.003108
136 1.350032 0.010081 0.002998
137 1.360032 0.010081 0.002998
138 1.370031 0.010021 0.000421
139 1.380031 0.010021 0.000421
140 1.390030 0.010013 0.009158
141 1.400030 0.010013 0.009158
142 1.410029 0.009830 -0.000182
143 1.420029 0.009830 -0.000182
144 1.430028 0.009833 0.001621
145 1.440028 0.009833 0.001621
146 1.450027 0.009801 -0.001524
147 1.460027 0.009801 -0.001524
148 1.470026 0.009831 0.005718
149 1.480026 0.009831 0.005718
150 1.490025 0.009717 0.010689
151 1.500025 0.009717 0.010689
152 1.510024 0.009503 0.000083
153 1.520024 0.009503 0.000083
154 1.530023 0.009501 0.005322
155 1.540023 0.009501 0.005322
156 1.550022 0.009395 0.000631
157 1.560022 0.009395 0.000631
158 1.570021 0.009382 0.000477
159 1.580021 0.009382 0.000477
160 1.590020 0.009373 0.004498
161 1.600020 0.009373 0.004498
162 1.610019 0.009283 0.009498
163 1.620019 0.009283 0.009498
164 1.630018 0.009093 0.007492
165 1.640018 0.009093 0.007492
166 1.650017 0.008943 0.018625
167 1.660017 0.008943 0.018625
168 1.670016 0.008571 0.016810
169 1.680016 0.008571 0.016810
170 1.690015 0.008234 0.016435
171 1.700015 0.008234 0.016435
172 1.710014 0.007906 0.010652
173 1.720014 0.007906 0.010652
174 1.730013 0.007693 0.019210
175 1.740013 0.007693 0.019210
176 1.750012 0.007308 0.020270
177 1.760012 0.007308 0.020270
178 1.770011 0.006903 0.019833
179 1.780011 0.006903 0.019833
180 1.790010 0.006506 0.025843
181 1.800010 0.006506 0.025843
182 1.810009 0.005990 0.011950
183 1.820009 0.005990 0.011950
184 1.830008 0.005751 0.025272
185 1.840008 0.005751 0.025272
186 1.850007 0.005245 0.018263
187 1.860007 0.005245 0.018263
188 1.870006 0.004880 0.038548
189 1.880006 0.004880 0.038548
190 1.890005 0.004109 0.031020
191 1.900005 0.004109 0.031020
192 1.910004 0.003488 0.023380
193 1.920004 0.003488 0.023380
194 1.930003 0.003021 0.031660
195 1.940003 0.003021 0.031660
196 1.950002 0.002388 0.036683
197 1.960002 0.002388 0.036683
198 1.970001 0.001654 0.038783
199 1.980001 0.001654 0.038783
200 1.990000 0.000878 0.043920
