index time position velocity
1 0.1000 0.1692 0.6922
2 0.2000 0.2341 0.6489
3 0.3000 0.2955 0.6136
4 0.4000 0.3705 0.7504
5 0.5000 0.4601 0.8961
6 0.6000 0.5245 0.6436
7 0.7000 0.5931 0.6863
8 0.8000 0.6641 0.7100
9 0.9000 0.7400 0.7590
10 1.0000 0.8088 0.6878
11 1.1000 0.8881 0.7932
12 1.2000 0.9577 0.6959
13 1.3000 1.0378 0.8008
14 1.4000 1.1071 0.6931
15 1.5000 1.1675 0.6046
16 1.6000 1.2071 0.3952
17 1.7000 1.2397 0.3259
18 1.8000 1.2705 0.3088
19 1.9000 1.2798 0.0925
20 2.0000 1.3070 0.2722
21 2.1000 1.3378 0.3078
22 2.2000 1.3851 0.4727
23 2.3000 1.4289 0.4390
24 2.4000 1.4764 0.4741
25 2.5000 1.5170 0.4068
26 2.6000 1.5487 0.3171
27 2.7000 1.5878 0.3904
28 2.8000 1.6060 0.1818
29 2.9000 1.6139 0.0792
30 3.0000 1.6227 0.0884
31 3.1000 1.6427 0.1998
32 3.2000 1.6321 -0.1063
33 3.3000 1.6400 0.0795
34 3.4000 1.6150 -0.2506
35 3.5000 1.5915 -0.2341
36 3.6000 1.5557 -0.3581
37 3.7000 1.5121 -0.4360
38 3.8000 1.4913 -0.2082
39 3.9000 1.4609 -0.3037
40 4.0000 1.4225 -0.3844
41 4.1000 1.3957 -0.2680
42 4.2000 1.3630 -0.3269
43 4.3000 1.3353 -0.2769
44 4.4000 1.3157 -0.1962
45 4.5000 1.3067 -0.0906
46 4.6000 1.2945 -0.1218
47 4.7000 1.2734 -0.2103
48 4.8000 1.2437 -0.2974
49 4.9000 1.2168 -0.2686
50 5.0000 1.2020 -0.1481
51 5.1000 1.1714 -0.3063
52 5.2000 1.1359 -0.3548
53 5.3000 1.1081 -0.2779
54 5.4000 1.0704 -0.3769
55 5.5000 1.0327 -0.3775
56 5.6000 1.0021 -0.3061
57 5.7000 0.9573 -0.4483
58 5.8000 0.9203 -0.3695
59 5.9000 0.8929 -0.2742
60 6.0000 0.8797 -0.1323
61 6.1000 0.8761 -0.0352
62 6.2000 0.8397 -0.3639
63 6.3000 0.7910 -0.4870
64 6.4000 0.7358 -0.5528
65 6.5000 0.7002 -0.3558
66 6.6000 0.6673 -0.3290
67 6.7000 0.6284 -0.3889
68 6.8000 0.5969 -0.3152
69 6.9000 0.5756 -0.2128
70 7.0000 0.5577 -0.1787
71 7.1000 0.5489 -0.0886
72 7.2000 0.5316 -0.1730
73 7.3000 0.5164 -0.1515
74 7.4000 0.5400 0.2362
75 7.5000 0.5438 0.0374
76 7.6000 0.5320 -0.1179
77 7.7000 0.5380 0.0599
78 7.8000 0.5476 0.0969
79 7.9000 0.5676 0.1991
80 8.0000 0.6091 0.4153
81 8.1000 0.6470 0.3787
82 8.2000 0.6869 0.3998
83 8.3000 0.7339 0.4701
84 8.4000 0.7804 0.4645
85 8.5000 0.7902 0.0978
86 8.6000 0.8054 0.1522
87 8.7000 0.8182 0.1280
88 8.8000 0.8594 0.4123
89 8.9000 0.8933 0.3387
90 9.0000 0.9043 0.1096
91 9.1000 0.9023 -0.0195
92 9.2000 0.8955 -0.0679
93 9.3000 0.9006 0.0505
94 9.4000 0.8968 -0.0374
95 9.5000 0.9042 0.0732
96 9.6000 0.9095 0.0534
97 9.7000 0.9233 0.1381
98 9.8000 0.9371 0.1377
99 9.9000 0.9645 0.2746
100 10.0000 1.0041 0.3953
